,vocabulary_id,term,hateful_meaning,nonhateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,language,plural_of,variant_of,transliteration_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings,number_of_sightings_this_year,number_of_sightings_this_month,created_on,updated_on
44,eccBs8hUq,niggerettes,Female diminuitive of 'nigger',,True,,,eng,niggerette,nigger,,False,True,False,False,False,False,False,155,61,18,2018-11-01 20:36:16,2018-11-01 20:36:16
45,obGpELaiV,moolinyan,Alternative of moolie,,False,,96.0,eng,,moulignon,,False,True,False,False,False,False,False,2,2,2,2018-11-01 20:36:03,2018-11-01 20:36:03
46,njJBwuZkv,kneegroes,Alternative form of 'negro',,True,,,eng,kneegrow,,,False,True,False,False,False,False,False,462,145,36,2018-11-01 20:35:50,2018-11-01 20:35:50
47,spbacFLhU,dindu,"A derogatory contraction of the words ""didn't do,"" popularized as a slur against black people as a mockery of regional pronunciation",,False,,95.0,eng,,dindu nuffin,,False,True,False,False,False,False,False,550,140,36,2018-11-01 20:34:08,2018-11-01 20:34:08
48,YamaZMMop,Congoids,Some concatenation of Congo and mongoloid,,True,,,eng,Congoid,,,False,True,False,False,False,False,False,112,58,6,2018-11-01 20:34:03,2018-11-01 20:34:03
49,HiHjQZyUi,chimped-out,Acts of aggression commited by a black person,,False,,97.0,eng,,chimp-out,,False,True,False,False,False,False,False,11,9,0,2018-11-01 20:33:56,2018-11-01 20:33:56
50,ngiDeZpXu,bootlips,A term for African Americans,,False,,100.0,eng,bootlip,,,False,True,False,False,False,False,False,4,2,0,2018-11-01 20:33:46,2018-11-01 20:33:46
51,czQmdgfms,yard ape,A black person,,True,,99.0,eng,,,,False,True,False,False,False,False,False,90,22,2,2018-11-01 19:42:47,2018-11-01 19:42:47
52,VxcEzomv2,suspook,A black person suspected of a crime,,True,,99.0,eng,,,,False,True,False,False,False,False,False,4,1,0,2018-11-01 19:42:43,2018-11-01 19:42:43
53,KZLFMFzqY,niggerette,Female diminuitive of 'nigger',,True,,98.0,eng,,,,False,True,False,False,False,False,False,33,17,8,2018-11-01 19:42:28,2018-11-01 19:42:28
54,4geTZPV4f,niggerfag,A homosexual of African descent,,True,,98.0,eng,,,,False,True,False,False,True,False,False,9,4,2,2018-11-01 19:42:28,2018-11-01 19:42:28
55,MhpsEBUGG,niggerize,To increase African American / African influence,,True,,98.0,eng,,,,False,True,False,False,False,False,False,66,14,3,2018-11-01 19:42:28,2018-11-01 19:42:28
56,RnVgazWDZ,nigger-knock,Intimidation of black families by anonymous knocking on their front doors,,True,,99.0,eng,,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 19:42:27,2018-11-01 19:42:27
57,DHWeAGvKd,kneegrow,Alternative form of 'negro',,True,,99.0,eng,,,,False,True,False,False,False,False,False,824,250,59,2018-11-01 19:42:19,2018-11-01 19:42:19
58,pczCEQBNb,dindu nuffin,"A derogatory contraction of the words ""didn't do nothing,"" popularized as a slur against black people as a mockery of regional pronunciation",,True,,98.0,eng,,,,False,True,False,False,False,False,False,1033,316,82,2018-11-01 19:42:09,2018-11-01 19:42:09
59,VxcXGhGEJ,Congoid,Some concatenation of Congo and mongoloid,,True,,92.0,eng,,,,False,True,False,False,False,False,False,190,65,15,2018-11-01 19:42:07,2018-11-01 19:42:07
60,YDaaFLwuu,chimp-out,Acts of aggression commited by a black person,,False,,97.0,eng,,,,False,True,False,False,False,False,False,16,7,3,2018-11-01 19:42:06,2018-11-01 19:42:06
61,vNrJWhyyk,chimp pack,A group of black people,,False,,86.0,eng,,,,False,True,False,False,False,False,False,1,0,0,2018-11-01 19:39:13,2018-11-01 19:39:13
62,vtuMAYdp7,bootlip,A term for African Americans,,False,,90.0,eng,,,,False,True,False,False,False,False,False,17,4,2,2018-11-01 19:39:10,2018-11-01 19:39:10
63,jY6nXuhkC,spear chucker,"A term used for an African American, or other person of African descent.",,True,,87.0,eng,,,,False,True,False,False,False,False,False,1385,150,45,2013-05-14 00:24:05,2013-05-14 00:24:05
